"Bagging Langra Mango 2KG box",,280,113917,112,Fruits,0,"In stock",330
"Bagging Himshagor Mango 2 Kg Box",,274,114646,116,Fruits,0,"In stock",365
"Totapuri Mango 2 Kg Box",,214,68034.8,60,Fruits,0,"Out of stock",'-163
"Mustard Oil B2B 1 Litre",,186,49195,18,"Mustard Oil",0,"In stock",1596
"Himshagor Mango 1KG",,150,20815,24,Fruits,0,"In stock",539
"Ghee B2B 1 Kg",,123,119335,7,Ghee,0,"In stock",757
"Bagging Amrupali Mango 1 Kg Bulk",,108,13450,15,Fruits,0,"Out of stock",'-101
"Harivanga Mango 2 Kg Box",,83,29025,27,Fruits,0,"Out of stock",'-26
"Totapuri Mango1 Kg Bulk",,82,11420,7,Fruits,0,"Out of stock",'-52
"Nolen Gurer Rosogolla (নলেন গুড়ের রসগোল্লা)",,81,36003,23,Sweets,0,"Out of stock",'-195
"Himshagor Mango 2kg 1 Box",,64,22268,28,Fruits,0,"In stock",178
"Extra Virgin Mustard Oil 900ml",,58,21645,15,"Mustard Oil",0,"In stock",419
"Deshi Ghee 400gm",,53,30436,15,Ghee,0,"Out of stock",'-44
"KachaMithai Anamika Mango 1KG",,50,7600,10,Fruits,0,"In stock",682
"Shor er Tok Misti Doi 1KG",,37,12393,3,Sweets,0,"In stock",8
"Malta 1KG",,29,5015,1,Fruits,0,N/A,N/A
"Loitta Shutki (লইট্টা শুঁটকি) 125GM",,27,4867,5,Shutki,0,"Out of stock",'-59
"Bagging Langra Mango 2 Kg Box",,26,11340,16,Fruits,0,"In stock",36
"Sundarbans Wild Honey (সুন্দরবনের আরণ্য মধু)",,18,9540,8,Honey,0,"In stock",369
"Totapuri Mango 2 Kg Box",,14,3636,4,Fruits,0,"In stock",27
"Ghee Retail 1KG",,14,10006,10,Ghee,0,"In stock",865
"Bagging Langra Mango 1 Kg",,14,2525,2,Fruits,0,"In stock",42
"Churi Shutki 125GM",,13,2921.25,3,Shutki,0,"Out of stock",'-34
"Extra Virgin Mustard Oil 450ml",50,13,2650,2,"Mustard Oil",0,"In stock",6
"Gopalvog Mango Juice 1KG",,12,1200,1,Fruits,0,N/A,N/A
"Pahari Rupali Mango Bulk 1kg",,12,1400,3,Uncategorized,0,N/A,N/A
"Red Chingri Shutki 125GM",,12,3793.5,3,Shutki,0,"Out of stock",'-35
"Lakkha Shutki 125GM",,11,5492.5,2,Shutki,0,"Out of stock",'-34
"Harivanga Mango 1 Kg",,10,1280,2,Fruits,0,"In stock",41
"Boondi 1KG",,10,3510,1,Sweets,0,"Out of stock",'-155
"Kalojeera Honey (কালোজিরা ফুলের মধু)",,9,8295,2,Honey,0,"In stock",2
"Bagging Amrupali Mango 1 Box 2KG",,8,2450,3,Fruits,0,"Out of stock",'-21
"Nolen gur er Chanar jilapi (নলেন গুড়ের ছানার জিলাপি)",,7,3225,7,Sweets,0,"In stock",3
"Malta 1 Kg",,7,1330,2,Fruits,0,"In stock",133
"Kachamitha Mango",,7,2730,4,Fruits,0,N/A,N/A
"Peyara 1KG",,6,860,3,Fruits,0,N/A,N/A
"Rupchanda Shutki (রূপচাঁদা শুঁটকি)",,6,3120,1,Shutki,0,"In stock",14
"Adi Rosogolla (আদি রসগোল্লা)",,5,2200,5,Sweets,0,"Out of stock",'-2
"Rasmalai (রসমালাই)",,5,2975,4,Sweets,0,"In stock",10
"Nolen gur er Shondesh 1KG",,4,2380,4,Sweets,0,"In stock",16
"Papaya 1KG",,4,618,3,Fruits,0,N/A,N/A
"Shor er Misti Doi 1kg",,3,645,3,Sweets,0,"Out of stock",'-72
"Apple Green 1KG",,3,710,3,Fruits,0,N/A,N/A
"Pantowa (পানতোয়া)",,3,1188,3,Sweets,0,"In stock",14
"Bagerhat er Kheer Sondesh (বাগেরহাটের ক্ষীর সন্দেশ)",,2,1300,2,Sweets,0,"In stock",53
"Package 2 (Nolen Gur er Roshgolla 1kg+Wild Honey 500gm+Ghee 400gm+Mustard Oil 900ml+Bucket)",,2,5120,1,,0,N/A,N/A
Apple-Gala,,1,230,1,"Fruits, Offers",0,"In stock",89
"Kolkata Langcha (কলকাতা ল্যাংচা)",,1,350,1,Sweets,0,"In stock",15
"South African Pears 1KG",,1,340,1,Fruits,0,N/A,N/A
